TableName	PrimaryKeyName	QueryToRenameConstraint
AggregatedCounter	Id	exec sp_rename 'AggregatedCounter.Id', 'AggregatedCounterID'
Counter	Id	exec sp_rename 'Counter.Id', 'CounterID'
geometry_columns	f_table_catalogf_table_schemaf_table_namef_geometry_column	exec sp_rename 'geometry_columns.f_table_catalogf_table_schemaf_table_namef_geometry_column', 'geometry_columnsID'
Hash	Id	exec sp_rename 'Hash.Id', 'HashID'
Job	Id	exec sp_rename 'Job.Id', 'JobID'
JobParameter	Id	exec sp_rename 'JobParameter.Id', 'JobParameterID'
JobQueue	Id	exec sp_rename 'JobQueue.Id', 'JobQueueID'
List	Id	exec sp_rename 'List.Id', 'ListID'
Schema	Version	exec sp_rename 'Schema.Version', 'SchemaID'
Server	Id	exec sp_rename 'Server.Id', 'ServerID'
Set	Id	exec sp_rename 'Set.Id', 'SetID'
spatial_ref_sys	srid	exec sp_rename 'spatial_ref_sys.srid', 'spatial_ref_sysID'
State	Id	exec sp_rename 'State.Id', 'StateID'
