SchemaName	TableName	PrimaryKeyName	QueryToRenameConstraint
dbo	geometry_columns	f_table_catalogf_table_schemaf_table_namef_geometry_column	exec sp_rename 'geometry_columns.f_table_catalogf_table_schemaf_table_namef_geometry_column', 'geometry_columnsID'
dbo	spatial_ref_sys	srid	exec sp_rename 'spatial_ref_sys.srid', 'spatial_ref_sysID'
HangFire	AggregatedCounter	Id	exec sp_rename 'AggregatedCounter.Id', 'AggregatedCounterID'
HangFire	Counter	Id	exec sp_rename 'Counter.Id', 'CounterID'
HangFire	Hash	Id	exec sp_rename 'Hash.Id', 'HashID'
HangFire	Job	Id	exec sp_rename 'Job.Id', 'JobID'
HangFire	JobParameter	Id	exec sp_rename 'JobParameter.Id', 'JobParameterID'
HangFire	JobQueue	Id	exec sp_rename 'JobQueue.Id', 'JobQueueID'
HangFire	List	Id	exec sp_rename 'List.Id', 'ListID'
HangFire	Schema	Version	exec sp_rename 'Schema.Version', 'SchemaID'
HangFire	Server	Id	exec sp_rename 'Server.Id', 'ServerID'
HangFire	Set	Id	exec sp_rename 'Set.Id', 'SetID'
HangFire	State	Id	exec sp_rename 'State.Id', 'StateID'
